point_index,image_x,image_y,original_x,original_y,lon,lat,avg_width,polygon_id
0,199.183792252756,835.237301460993,571216.8550197216,5937787.064744445,10.075782658280774,53.58409073419384,29.740755794614223,14
1,211.6984642241911,832.0224455082467,571218.5898074732,5937787.510388784,10.075808960150708,53.5840945035856,29.740755794614223,14
2,224.09714129384324,828.3866887380871,571220.3085159754,5937788.014378527,10.07583503249988,53.58409879950304,29.740755794614223,14
3,236.33738992967733,824.2497484447966,571222.0052630783,5937788.587842488,10.075860789032255,53.58410372275936,29.740755794614223,14
4,248.36600074948458,819.5337009215732,571223.6726728808,5937789.241582474,10.0758861208175,53.58410937143195,29.740755794614223,14
5,260.11824204664475,814.1668645495666,571225.3017722535,5937789.985535014,10.075910894605272,53.58411583603898,29.740755794614223,14
6,271.51895587365095,808.089775054761,571226.882142778,5937790.827943065,10.075934954930814,53.58412319207498,29.740755794614223,14
7,282.4854871276898,801.260972761378,571228.4023267782,5937791.7745537795,10.075958130063928,53.58413149274605,29.740755794614223,14
8,292.9335316870306,793.6630784633062,571229.8506379903,5937792.827776269,10.075980244060018,53.58414076129063,29.740755794614223,14
9,302.78474506414716,785.3060985554523,571231.2162162767,5937793.986223443,10.076001132584526,53.58415098671873,29.740755794614223,14
